section_id,source_filename,chunk_id,text,score,retrieval_method,hybrid_selection_method,selection_source,quantitative_values,quantitative_metrics,verification_statuses,marginal_quantitative_values,marginal_quantitative_count,retrieval_methods,component_ranks,component_scores,hybrid_score
S2,1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0015,"daily solar irradiation measurements in 2004. Fig. 2. Daily solar irradiation (2004). The weather in Fortaleza is characterized by a rainy and dry season, due to the presence of the Intertropical Convergence Zone. Dry period occurs in the second half of the year. Consequently, during this period there is a higher incidence of solar irradiation on the surface due to the absence of cloud cover. Rainy season, characterized by a lower solar irradiation, occurs in the first half of the year. For validation of the ANN results, the rest of the data (30% of the collected data) of solar irradiance and temperature (219 days, 18,421 measurements) are used in order to verify the network operation for hitherto unknown inputs (generalization step). It is worth mentioning that, in the region of the study, the climate is well defined throughout the year, therefore, this climatic characteristic causes the neural network to be able to carry out predictions of later years. With these results, weighted errors are calculated. Solar prediction errors are found at different times of the day, with different levels of solar resource availability [5]. If a",0.6259012222290039,chroma_restricted,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
S2,1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0014,"considered in the present analysis. Irradiance Data collection was performed using a pyranometer (NRG Systems, LI-200SZ). Temperature data were obtained from a temperature sensor (NRG Systems, # 110S), with an accuracy of ± 1.11°C and operating between -40°C and 52.5°C. Data were collected and stored by means of spreadsheets at intervals of 10 min, obtained by means of arithmetic means from data processed every 2 s. Solar irradiance and temperature data were collected from May 2003 to April 2005, totaling 24 months of data, resulting in 61,404 measurements for solar irradiance and the same for temperature, since measurements were from 05:00 hours to 18:00 hours. For MLP Backpropagation ANN training, 70% of the collected irradiance and temperature data (512 days, 43,008 measurements) were used. Figure 2 shows daily solar irradiation measurements in 2004. Fig. 2. Daily solar irradiation (2004). The weather in Fortaleza is characterized by a rainy and dry season, due to the presence of the Intertropical Convergence Zone. Dry period occurs in the second half of the year. Consequently, during this period there is a",0.6024516820907593,chroma_restricted,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
S2,1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,42891eb1891ec233_chunk_0008,"past ten years, many scholars [15–20] have begun to use ANN models to simulate solar radiation. These research can be divided into several categories, including: (1) Comparing the simulation accuracy of ANNs with different input parameters. Rao et al. [21] used different combinations of daily minimum temperature (Tmin), daily maximum temperature (Tmax), the difference of daily maximum and minimum temperature (DT), sunshine duration (S0), theoretical sunshine duration (S) and extraterrestrial radiation (H0) to train an ANN; six ANN models were developed to estimate mean daily global solar radiation. The results that the showed a combination of DT and H0 gave the best prediction of the Relative Root Mean Square Error (RRMSE), being as little as 3.96%; (2) Comparing neural network models with other models. Teket et al. [22] compared 91 models for simulating solar radiation; these models can be summarized as linear models, nonlinear models, mixed models, and neural network models. The percentage errors were 3.62%, 2.50% to 6.93%, 0.14 to 6.93%, and 0.30%, respectively; (3) comparing the neural network models with different algorithms. For example, based",0.5679153203964233,chroma_restricted,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
S2,1/34.praynlin2017.pdf,12ed2391bde9cd16_chunk_0005,"hourly premise [6] utilizing several forecasting methods. One of the prediction or forecasting methodologies being followed in recent times is the artificial intelligent techniques to predict the solar radiation [7] since it eliminates the constraints of classical approaches by extracting the desired data using input information [8]. ANNs have appeared to be more appropriate to predict solar radiation than other experimental regression models. The ANNs are broadly utilized as a part of different fields of arithmetic, engineering, meteorology, economics and in versatile control and robotics, in electrical and warm load predictions and numerous different subjects [9]. ANN can be used for both the modeling and prediction of solar radiation data [10]. In [11] global solar radiation can be predicted using two layer feed-forward back propagation network with one input parameter. This model needs more training data to increase its accuracy. Several parameter models are not convenient in this method. Radial Basis function (RBF) [12] and Multilayer Perceptron (MLP) have been proposed for long haul data analysis. The Radial Basis Function and Multilayer Perceptron",0.07042253521126761,csv_lexical_ranked_experimental,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
S2,1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0002,"Phone/Fax number:+34956028166, e-mail: luis.fernandez@uca.es 3 Department of Industrial Mechatronics Federal Institute of Education, Science and Technology – IFCE Campus Limoeiro do Norte, Rua Estevão Remígio de Freitas, 1145 - Monsenhor Otávio, Limoeiro do Norte, 62930-000, Ceará (Brazil) Phone/Fax number:+558834476400, e-mail: josileudorodrigues@hotmail.com Abstract. Renewable energy (RE) resources such as solar are increasingly being used worldwide. Solar resource shows high availability, but presents an intermittent characteristic, causing oscillations in the electricity production. Intermittence is one of the main barriers for the use of solar plants in a system that needs to balance demand and electricity production. Aiming to contribute to a larger use of the solar resource in the world energy matrix, we propose a solar irradiance prediction methodology, developed from data collected in Fortaleza-CE (latitude: −03° 43′, longitude: −38° 32′). Predictions were developed using Multilayer Perceptron (MLP) Back propagation Artificial Neural Network (ANN) with the advance of 1 hour. In the best ANN performance, 41.9% of the predictions obtained up",0.07042253521126761,csv_lexical_ranked_experimental,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
S2,1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0003,"methodology, developed from data collected in Fortaleza-CE (latitude: −03° 43′, longitude: −38° 32′). Predictions were developed using Multilayer Perceptron (MLP) Back propagation Artificial Neural Network (ANN) with the advance of 1 hour. In the best ANN performance, 41.9% of the predictions obtained up to 5% of error, 58.7% obtained errors lower than 10% and 68.6% obtained errors lower than 15%. MAPE (mean absolute percentage error) of 6.11% was found, which can be considered good, since errors found in previous works reached 20%. Key words Solar Predictability, Solar Energy, Artificial Neural Networks. 1. Introduction There is a growing search for new sources of energy worldwide in order to complement the electricity supply. Additionally, according to United Nations projections [1], in 2050 the world population will increase approximately 29%, going from the current 7.55 billion inhabitants to 9.77 billion inhabitants [1]-[2], making it clear that energy demand will continue to expand. Therefore, better techniques are needed to produce, store and distribute energy, taking into account technical, financial and environmental factors.",0.07042253521126761,csv_lexical_ranked_experimental,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
S2,1/33.An-LM-BP-Neural-Network-Approach-to-Estimate-Monthly-Mean-Daily-Global-Solar-Radiation-Using-MODIS-Atmospheric-Products.pdf,42891eb1891ec233_chunk_0023,"with R = 0.96). MBE is minimum (equal to 0.12 MJ·m−2) when the ANN conﬁguration with 5
neurons in the hidden layer. It is indicated that the training results were hardly improved further
when the number of neurons in the hidden layer became greater than 7. The more the number of
neurons, the not higher the accuracy. The reason is that the more the number of hidden layers,
the more the nodes, which leads to more weights and errors, hence, the accuracy of the network
drops. From the above consideration, an ANN conﬁguration with 7 neurons was applied.
Table 1. Training results for different conﬁgurations in the hidden layer.
n
Transfer Function
Training Function
R
RMSE/
MJ·m−2
MBE/
MJ·m−2
Hidden Layer
Output Layer
4
tan-sigmoid
purelin
trainlm
0.94
1.59
0.13
5
tan-sigmoid
purelin
trainlm
0.93
1.66
0.12
6
tan-sigmoid
purelin
trainlm
0.94
1.60
0.44
7
tan-sigmoid
purelin
trainlm
0.96
1.34
0.21
8
tan-sigmoid
purelin
trainlm
0.93
1.65
0.27
9
tan-sigmoid
purelin
trainlm
0.92
2.12
1.15
10
tan-sigmoid
purelin
trainlm
0.94
1.66
0.52
11
tan-sigmoid
purelin
trainlm
0.90
1.99
0.42
12
tan-sigmoid
purelin
trainlm
0.92
1.76
0.19
13
tan-sigmoid
purelin
trainlm
0.93
1.73
0.20",5.0,quantitative_confirmed_chunk,hybrid_plus_confirmed_quantitative_greedy,confirmed_quantitative_greedy_quota,"['0.21', '0.96', '1.34', '2', '7']","['MBE', 'R', 'RMSE', 'neurons_hidden_layer']",['confirmed_in_source_chunk'],"['0.21', '0.96', '1.34']",3.0,,,,
S2,1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,696fb1df0f31a0b4_chunk_0020,"hour in advance, totaling 18,421 forecasts, or 219 
forecast days. Test period was performed from 
September 23, 2004 to April 30, 2005. 
Predictions of solar irradiance follow the behavior of the 
solar resource, demonstrating that the method is able to 
give values close to the observations in several hours of 
the period. The highest value of predicted solar irradiance 
for the 1st test was 1,144.2 W/m², while the measured 
value was 1,371 W/m², which is an understatement of 
16.6 %. For the second test, the highest value of 
predicted 
solar 
irradiance 
was 
1,449.33 
W/m², 
characterizing an overestimation of 5.71%. For the first 
test, the largest difference between forecast and collected 
data was 99%, the lowest of 0% (no error). For the 
second test, the largest difference was 93.77% and the 
lowest of 0%. 
In the first test, 41.9% of the predictions obtained up to 
5% of error, 58.7% of the predictions obtained errors less 
than 10% and 68.6% of the predictions errors less than 
15%. 
In the second test, 34.87% of the predictions obtained up 
to 5% of error, 53.94% of the predictions obtained errors 
less than 10% and 67.42% of the predictions errors less",3.0,quantitative_confirmed_chunk,hybrid_plus_confirmed_quantitative_greedy,confirmed_quantitative_greedy_quota,"['58.7', '58.7%', '99%']","['MAPE', 'maximum_error', 'percentage_predictions_error_less_than_10%']",['confirmed_in_source_chunk'],['99%'],1.0,,,,
S3,1/58.1-s2.0-S0306261921005158-main.pdf,e1bf718cbfa6854b_chunk_0104,"summer, autumn and winter) for all locations. However, it has been observed that the seasonal error distribution of developed is highly influenced by the climate of the location. For instance, the proposed LSTM–CNN model has shown highly improved prediction results in those seasons when prediction errors of other considered models are relatively high. • Finally, the proposed hybrid LSTM–CNN model has shown highly improved prediction accuracy in different sky conditions (cloudy, mixed and sunny) for different climatic locations. Conclusively, the proposed LSTM–CNN model digs out the potential of deep learning and their hybrid models for GHI prediction. LSTM– CNN efficiently extracts the intrinsic and hidden tempo-spatial features from the multivariate time-series meteorological and GHI data that highly influence the GHI prediction. Moreover, the proposed LSTM– CNN model is highly stable, which effectively predicts GHI irrespective of the seasonal variations and sky conditions. The simulation results obtained in the present study illustrate that the proposed deep hybrid LSTM–CNN model exhibits excellent performance in predicting hourly global horizontal irradiance under different",0.6751204133033752,chroma_restricted,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
S3,1/58.1-s2.0-S0306261921005158-main.pdf,e1bf718cbfa6854b_chunk_0002,"effective participation in the energy market. This study proposes a new hybrid deep learning model, namely long short term memory–convolutional neural network (LSTM–CNN), for hourly GHI forecasting, which models the spatio-temporal features by integrating the long short term memory (LSTM) and convolutional neural network (CNN) model. The proposed model is trained with the meteorological data of 23 locations of California State, USA, which includes temperature, precipitation, relative humidity, cloud cover, etc., as input parameters. The proposed hybrid LSTM–CNN model firstly uses LSTM to extract the temporal features from time-series solar irradiance data, followed by CNN, which extracts the spatial features from the correlation matrix of several meteorological variables of target and its neighbor location. The prediction accuracy of the developed model is analyzed rigorously by examining the performance for a year, for four seasons and under three sky conditions. Besides, the proposed LSTM–CNN model shows a forecast skill score in a range of about 37%–45% over few standalone models, including smart persistence, support vector machine, artificial neural network, LSTM, CNN",0.6570838093757629,chroma_restricted,hybrid_plus_confirmed_quantitative_greedy,hybrid_base_quota,,,,,,,,,
